id,status_groundtruth,title,content,tanggal
24326,Benar,"Benar, Ada Dugaan Warga Coblos Dua Surat Suara di Pilkada Serentak Sumatera Utara 2024","Sebuah video beredar di TikTok [arsip] yang diklaim memperlihatkan seorang perempuan mencoblos dua surat suara pemilihan gubernur Sumatera Utara, dalam Pilkada Serentak 2024. Pertama dia mencoblos surat suara Pemilihan Gubernur dan Wakil Gubernur Sumut 2024, dan menunjukkan pilihannya paslon nomor urut 01, Bobby Nasution-Surya. Dia kembali membuka surat suara Pemilihan Gubernur dan Wakil Gubernur Sumut 2024 satunya, dan kembali mencoblos, kemudian menunjukkan pilihannya paslon nomor urut 1. Hal yang sama dilakukannya pada surat suara Pemilihan Walikota dan Wakil Walikota Medan 2024. Ia memilih paslon nomor urut 01, Rico Waas dan Zaki. Namun, benarkah video itu memperlihatkan seorang pemilih yang mencoblos surat suara Pilgub Sumut 2024 sebanyak dua kali?",2024-11-28
24325,Benar,"Benar, Klaim Video Surat Suara di Desa Juranalas, Sumbawa Sudah Tercoblos","Beredar di Facebook, sebuah video protes warga pendukung pasangan calon nomor urut 2 Zul Uhel soal surat suara tercoblos di sebuah Tempat Pemungutan Suara di Sumbawa. Dalam video tersebut, seorang laki-laki berkaos dan bertopi bertuliskan Zul Uhel mengatakan bahwa di TPS 6 Desa Juran Alas, Kecamatan Alas, Kabupaten Sumbawa, NTB terindikasi kartu suara sudah dicoblos duluan. Laki-laki lain berbaju merah menyebutkan jumlah surat suara yang sudah dicoblos sebanyak 60 untuk Cagub No.3, 1 surat suara untuk Cagub No.1 dan 1 batal. Kemudian surat suara untuk calon bupati nomor urut 2 sebanyak 59 yang sudah dicoblos duluan. Benarkah surat suara di Desa Juran Alas, Kabupaten Sumbawa, Provinsi Nusa Tenggara Barat sudah tercoblos?",2024-11-28
24312,Benar,[Benar] Video Surat Suara Tercoblos Sebelum Pemilihan di Gowa,"Beredar video di media sosial, terkait terjadinya surat suara yang Tercoblos sebelum pemilihan. Peristiwa tersebut terjadi di TPS 001 Kelurahan Mawang, Kecamatan Somba Opu, Gowa.",2024-11-28
24311,Benar,"Viral Ban Mobil Dipecahkan di Pidie Jaya, Polisi: Sedang Ditangani","Sebuah video viral di media sosial memperlihatkan mobil berkelir merah dengan dua ban sisi kanan depan dan belakang pecah. Menurut unggahan beredar, peristiwa itu terjadi di Desa Meunasah Bie, Kecamatan Meurah Dua, Pidie Jaya, Aceh. Dalam video yang beredar luas tersebut, terdengar suara laki-laki yang menjelaskan bahwa ban mobil diduga dipecahkan itu karena perseteruan antara tim kandidat.",2024-11-28
24310,Benar,"Viral Surat Suara Dicoblos di Motor, KIP Pidie: Dibawa ke Orang Sakit","Sebuah video viral di media sosial memperlihatkan seorang perempuan mencoblos surat suara Pilkada 2024 di atas sepeda motor. Peristiwa dalam rekaman ini disebut terjadi di Desa Pulo Siblah, Kecamatan Tiro, Pidie, Aceh.",2024-11-28
24290,Benar,"Benar, Foto Uang dan Amplop Bergambar salah Satu Paslon Pilkada Kabupaten Pekalongan","Sebuah gambar beredar di Facebook [arsip] yang disertai narasi bahwa terjadi politik uang oleh Paslon 01 Fadia Arafiq-Sukirman dalam pelaksanaan Pilkada Kabupaten Pekalongan, Jawa Tengah, tahun 2024. Gambar itu memperlihatkan uang kertas senilai Rp70 ribu, terdiri dari tiga lembar pecahan Rp20 ribu dan satu lembar pecahan Rp10 ribu. Diperlihatkan juga alat peraga kampanye berupa gambar Fadia-Sukirman yang mirip tampilan di surat suara. Terdapat selembar amplop putih juga yang dikatakan dijadikan bungkus uang-uang tersebut. Narasi yang disertakan mempertanyakan jumlah uang tersebut apa sudah benar, atau justru telah dipotong.",2024-11-27
24288,Benar,"Ratusan surat suara sudah tercoblos di Alas, Sumbawa","Lombokvibes.com, Mataram– Sebuah postingan video yang mengklaim ratusan surat suara telah tercoblos di Kabupaten Alas, Sumbawa, viral di media sosial Facebook, (27/11/2024). Dalam video itu memperlihatkan seorang pria yang mengklaim, telah ditemukan indikasi surat suara sudah dicoblos terlebih dahulu. “Di TPS 6 ditemukan indikasi surat suara telah dicoblos duluan,” ujarnya. Sementara, pria yang lain juga menyebutkan, terdapat 60 Surat suara yang sudah tercoblos untuk paslon nomor urut 3 yakni Iqbal-Dinda, juga terdapat 59 Surat suara sudah tercoblos nomor urut 2 pasangan calon Bupati dan wakil Bupati Sumbawa Jarot-Ansori.",2024-11-27
24285,Benar,"Benar, Video Petugas KPPS di Kota Ambon Coblos Surat Suara untuk Salah Satu Paslon","Sebuah video di TikTok memperlihatkan sejumlah surat suara pada salah satu Tempat Pemungutan Suara atau TPS di Kota Ambon, Maluku, yang telah dicoblos. Perekam video menyebut petugas Kelompok Penyelenggara Pemungutan Suara atau KPPS telah mencoblos sejumlah surat suara sisa untuk kandidat tertentu. ""Tangkap ini ee.. KPPS TPS 42 Batu Merah Kebun Cengkeh ini RT 006 RW 09 Dong (mereka) coblos surat suara untuk kandidat tertentu,"" kata perekam video yang diunggah ke TikTok pada 27 November 2024.",2024-11-27
24283,Benar,119 Surat Suara Tercoblos di Juran Alas Sumbawa,"SUMBAWA, KOMPAS.com -Dugaan kecurangan terjadi di TPS 06 Desa Juran Alas, Kecamatan Alas, Kabupaten Sumbawa, Nusa Tenggara Barat (NTB) saat hari pencoblosan pilkada serentak, Rabu (27/11/2024) pagi. Diduga sejumlah surat suara untuk pasangan Calon Gubernur dan Wakil Gubernur NTB serta pasangan Calon Bupati dan Wakil Bupati Sumbawa telah dicoblos. Padahal proses pemilihan belum dilakukan. Dugaan kecurangan ini diungkapkan tim sukses salah satu paslon di TPS setempat yang langsung ditayangkan akun Facebook Turanggo Dedek Sembiring. Dalam video berdurasi 1 menit 23 detik, tampak salah seorang pemilih setempat yang dipanggil Anca mengungkap surat-surat yang telah dicoblos sebelumnya. Anca merinci bahwa untuk surat suara Paslon Gubernur-Wakil Gubernur NTB, telah tercoblos 60 surat suara untuk Paslon nomor urut 3 (Iqbal-Dinda) dan 2 surat suara untuk Paslon Cagub Nomor 1 (Rohmi Firin), termasuk satu surat suara batal. Sedangkan di TPS yang sama untuk Bupati dan Wakil Bupati Sumbawa, ada 59 surat suara tercoblos untuk Paslon No.2 (Jarot-Ansori). Pernyataan Anca dibenarkan oleh Ridha Husain, tim dari Paslon Bupati dan Wakil Bupati, Dewi Noviany dan Talifuddin (Novi Talif), serta Paslon Pilgub Nomor 2 Zulkieflimansyah dan Suhaili (Zul Uhel). Ridha saat dikonfirmasi mengakui usai mendapatkan informasi tentang peristiwa tersebut langsung bergegas ke TPS 06 Juran Alas. “Semua barang bukti sudah diamankan petugas polisi dan TNI yang kebetulan bertugas di TPS tersebut,” ungkap Ridha. Dari informasi yang diperolehnya, peristiwa ini terungkap ketika beberapa pemilih yang diberikan surat suara masuk ke bilik suara untuk mencoblos. Ketika surat suara dibuka, ternyata sudah tercoblos. Pemilih ini pun protes ke panitia pemungutan suara (PPS). Dari temuan itu, surat suara yang belum dibagikan dibongkar dan diperiksa. Lalu ditemukan banyak surat suara yang sudah tercoblos. “Ini kejadian luar biasa, bayangkan surat suara itu berada di dalam kotak surat suara tersegel sebelum dibuka. Artinya, jika benar, banyak yang terlibat,” duganya. Bawaslu Kabupaten Sumbawa pun membenarkan adanyas urat suara yang tercoblos di TPS 06 Juran Alas Kecamatan Alas. “Benar. Sudah kami konfirmasi ke Panwascam Alas, memang benar ada kejadian itu,” kata Koordinator Divisi Penanganan Pelanggaran Data dan Informasi Bawaslu Sumbawa, Jusriadi, saat dikonfirmasi Rabu (27/11/2024). Jho, sapaan akrabnya, menyebut jumlah surat suara Pilgub NTB yang telah dicoblos ada 62 lembar. Rinciannya, 60 suara untuk Cagub-Cawagub Nomor Urut 3, Iqbal-Dinda, dan 2 suara untuk nomor urut 1 (Rohmi Firin), termasuk 1 suara batal. Kemudian, 59 surat suara untuk Cabup-Cawabup, semuanya untuk Paslon Nomor Urut 2 (Jarot-Ansori). Sehingga jumlah surat suara yang tercoblos 119. Saat ini, surat suara yang tercoblos ini sudah diamankan petugas di lokasi. Meski demikian, proses pemilihan (pencoblosan) di TPS 06 Juran Alas tetap berlangsung aman dan lancar. Mengenai peristiwa tersebut, Jho mengaku masih menunggu laporan hasil pengawasan secara lengkap dari Panwascam Alas, sehingga diketahui kronologisnya. Dari laporan ini akan dikaji dan dilanjutkan dengan mekanisme penanganan.",2024-11-27
24281,Benar,"Benar, Surat Suara di TPS 9 Tingkulu Manado Sudah Tercoblos saat Dibuka","""Kalah fajar p serangan komang, TPS 9 Tingkulu link 8, surat suara blm coblos pe buka so ad coblos"".",2024-11-27
